,Nombre,Tipo,Provincia,Poblacion,lon,lat,uri
0,Güesa/Gorza,Municipio,Navarra,38.0,-1.0944,42.8072,http://www.wikidata.org/entity/Q2470020
1,Izalzu/Itzaltzu,Municipio,Navarra,40.0,-1.0522,42.9144,http://www.wikidata.org/entity/Q2572202
2,Lónguida/Longida,Municipio,Navarra,298.0,-1.3856,42.7572,http://www.wikidata.org/entity/Q2572251
3,Gallués/Galoze,Municipio,Navarra,93.0,-1.0959,42.7841,http://www.wikidata.org/entity/Q2447353
4,Lana,Municipio,Navarra,169.0,-2.2469,42.7061,http://www.wikidata.org/entity/Q1647932
5,Olejua,Municipio,Navarra,50.0,-2.1403,42.6242,http://www.wikidata.org/entity/Q1647906
6,Metauten,Municipio,Navarra,288.0,-2.1253,42.6786,http://www.wikidata.org/entity/Q1647918
7,Lantz,Municipio,Navarra,148.0,-1.6194,42.9989,http://www.wikidata.org/entity/Q1647913
8,Santacara,Municipio,Navarra,874.0,-1.5478,42.3755,http://www.wikidata.org/entity/Q1647926
9,Piedramillera,Municipio,Navarra,37.0,-2.2028,42.6328,http://www.wikidata.org/entity/Q1647923
10,Campos del Río,Municipio,Región de Murcia,2028.0,-1.3517,38.0408,http://www.wikidata.org/entity/Q1989395
11,Caravaca de la Cruz,Municipio,Región de Murcia,25760.0,-1.86,38.1075,http://www.wikidata.org/entity/Q230368
12,Mula,Municipio,Región de Murcia,16883.0,-1.4907,38.0419,http://www.wikidata.org/entity/Q1983986
13,Beniel,Municipio,Región de Murcia,11318.0,-1.0014,38.0464,http://www.wikidata.org/entity/Q1989408
14,Cartagena,Municipio,Región de Murcia,214802.0,-0.9819,37.6,http://www.wikidata.org/entity/Q162615
15,Lorquí,Municipio,Región de Murcia,7141.0,-1.255,38.0817,http://www.wikidata.org/entity/Q1982966
16,Ulea,Municipio,Región de Murcia,874.0,-1.3297,38.1408,http://www.wikidata.org/entity/Q1767758
17,Abarán,Municipio,Región de Murcia,12964.0,-1.4003,38.2031,http://www.wikidata.org/entity/Q305593
18,Bullas,Municipio,Región de Murcia,11530.0,-1.6706,38.0497,http://www.wikidata.org/entity/Q986086
19,San Pedro del Pinatar,Municipio,Región de Murcia,25476.0,-0.7886,37.8363,http://www.wikidata.org/entity/Q743996
20,Albudeite,Municipio,Región de Murcia,1373.0,-1.3853,38.0283,http://www.wikidata.org/entity/Q1769962
21,Villanueva del Río Segura,Municipio,Región de Murcia,2910.0,-1.3242,38.1356,http://www.wikidata.org/entity/Q1972508
22,Lorca,Municipio,Región de Murcia,94404.0,-1.7,37.6833,http://www.wikidata.org/entity/Q47571
23,Librilla,Municipio,Región de Murcia,5305.0,-1.35,37.8831,http://www.wikidata.org/entity/Q1010250
24,Murcia,Municipio,Región de Murcia,453258.0,-1.1303,37.9861,http://www.wikidata.org/entity/Q12225
25,Ceutí,Municipio,Región de Murcia,11787.0,-1.2722,38.0789,http://www.wikidata.org/entity/Q599932
26,Fuente Álamo de Murcia,Municipio,Región de Murcia,16583.0,-1.1882,37.7393,http://www.wikidata.org/entity/Q1904376
27,Torre-Pacheco,Municipio,Región de Murcia,35676.0,-0.9539,37.7431,http://www.wikidata.org/entity/Q949880
28,Alguazas,Municipio,Región de Murcia,9638.0,-1.2414,38.0514,http://www.wikidata.org/entity/Q1770951
29,Mazarrón,Municipio,Región de Murcia,32209.0,-1.3139,37.5984,http://www.wikidata.org/entity/Q913277
30,"Torres de Cotillas, Las",Municipio,Región de Murcia,21471.0,-1.2436,38.0264,http://www.wikidata.org/entity/Q762427
31,"Unión, La",Municipio,Región de Murcia,20225.0,-0.8755,37.6191,http://www.wikidata.org/entity/Q1228759
32,Archena,Municipio,Región de Murcia,19301.0,-1.2992,38.115,http://www.wikidata.org/entity/Q632621
33,"Cierva, La",Municipio,Provincia de Cuenca,28.0,-1.8643,40.0504,http://www.wikidata.org/entity/Q1648798
34,"Cierva, La",Municipio,Provincia de Cuenca,28.0,-1.8511,40.0558,http://www.wikidata.org/entity/Q1648798
35,Valtierra,Municipio,Navarra,2412.0,-1.6342,42.1953,http://www.wikidata.org/entity/Q1751469
36,Castejón,Municipio,Navarra,4163.0,-1.6906,42.1678,http://www.wikidata.org/entity/Q1648779
37,Larraun,Municipio,Navarra,951.0,-1.8964,43.0056,http://www.wikidata.org/entity/Q1648037
38,Liédena,Municipio,Navarra,292.0,-1.2739,42.6211,http://www.wikidata.org/entity/Q1647968
39,Araitz,Municipio,Navarra,512.0,-1.9872,43.0369,http://www.wikidata.org/entity/Q1773024
40,Murillo el Cuende,Municipio,Navarra,665.0,-1.6297,42.3978,http://www.wikidata.org/entity/Q1772987
41,Genevilla,Municipio,Navarra,70.0,-2.3917,42.6447,http://www.wikidata.org/entity/Q1751480
42,Ochagavía/Otsagabia,Municipio,Navarra,521.0,-1.0892,42.9067,http://www.wikidata.org/entity/Q1780242
43,Oronz/Orontze,Municipio,Navarra,47.0,-1.0956,42.8694,http://www.wikidata.org/entity/Q2329544
44,Villafranca,Municipio,Navarra,2847.0,-1.75,42.2831,http://www.wikidata.org/entity/Q1912688
45,Leoz,Municipio,Navarra,220.0,-1.5192,42.645,http://www.wikidata.org/entity/Q1773034
46,Lekunberri,Municipio,Navarra,1536.0,-1.8939,43.0033,http://www.wikidata.org/entity/Q1773037
47,Bargota,Municipio,Navarra,257.0,-2.3119,42.5611,http://www.wikidata.org/entity/Q1757471
48,Ibargoiti,Municipio,Navarra,249.0,-1.4726,42.6883,http://www.wikidata.org/entity/Q1780360
49,Igantzi,Municipio,Navarra,639.0,-1.6992,43.2256,http://www.wikidata.org/entity/Q1751880
50,Imotz,Municipio,Navarra,423.0,-1.8016,42.956,http://www.wikidata.org/entity/Q1647962
51,Oiz,Municipio,Navarra,129.0,-1.6856,43.1106,http://www.wikidata.org/entity/Q1922581
52,Añorbe,Municipio,Navarra,581.0,-1.7146,42.6584,http://www.wikidata.org/entity/Q1763701
53,Sesma,Municipio,Navarra,1164.0,-2.0833,42.4778,http://www.wikidata.org/entity/Q1767933
54,Azagra,Municipio,Navarra,3843.0,-1.8972,42.3139,http://www.wikidata.org/entity/Q1757486
55,Izagaondoa,Municipio,Navarra,176.0,-1.4206,42.7531,http://www.wikidata.org/entity/Q1676138
56,Cabanillas,Municipio,Navarra,1357.0,-1.5269,42.0314,http://www.wikidata.org/entity/Q1648451
57,Ribaforada,Municipio,Navarra,3750.0,-1.5108,41.9972,http://www.wikidata.org/entity/Q1647994
58,Eratsun,Municipio,Navarra,151.0,-1.7967,43.0833,http://www.wikidata.org/entity/Q1648027
59,Leitza,Municipio,Navarra,2913.0,-1.9147,43.0789,http://www.wikidata.org/entity/Q1648056
60,Urraul Bajo,Municipio,Navarra,322.0,-1.3225,42.7142,http://www.wikidata.org/entity/Q1648094
61,Guirguillano,Municipio,Navarra,78.0,-1.8678,42.7223,http://www.wikidata.org/entity/Q1753001
62,Garralda,Municipio,Navarra,190.0,-1.2864,42.9481,http://www.wikidata.org/entity/Q1753012
63,Bidaurreta,Municipio,Navarra,163.0,-1.8328,42.7767,http://www.wikidata.org/entity/Q1753024
64,Urzainqui/Urzainki,Municipio,Navarra,84.0,-0.9444,42.8328,http://www.wikidata.org/entity/Q1648019
65,Aribe,Municipio,Navarra,33.0,-1.2652,42.9451,http://www.wikidata.org/entity/Q1763748
66,Mirafuentes,Municipio,Navarra,57.0,-2.2767,42.6231,http://www.wikidata.org/entity/Q1648015
67,Monteagudo,Municipio,Navarra,1092.0,-1.6903,41.9639,http://www.wikidata.org/entity/Q1772992
68,Berrioplano/Berriobeiti,Municipio,Navarra,7256.0,-1.6925,42.8525,http://www.wikidata.org/entity/Q1763760
69,Murchante,Municipio,Navarra,4154.0,-1.6558,42.03,http://www.wikidata.org/entity/Q1772996
70,Aria,Municipio,Navarra,51.0,-1.2656,42.9526,http://www.wikidata.org/entity/Q1985331
71,Beintza-Labaien,Municipio,Navarra,220.0,-1.7389,43.0872,http://www.wikidata.org/entity/Q1763727
72,Galar,Municipio,Navarra,2273.0,-1.6716,42.7503,http://www.wikidata.org/entity/Q1752994
73,Esparza de Salazar/Espartza Zaraitzu,Municipio,Navarra,74.0,-1.0986,42.855,http://www.wikidata.org/entity/Q1764633
74,Biurrun-Olcoz,Municipio,Navarra,214.0,-1.6794,42.695,http://www.wikidata.org/entity/Q1757477
75,Urraul Alto,Municipio,Navarra,133.0,-1.2544,42.7592,http://www.wikidata.org/entity/Q1647988
76,Cadreita,Municipio,Navarra,1964.0,-1.6842,42.2211,http://www.wikidata.org/entity/Q1648483
77,Larraga,Municipio,Navarra,2075.0,-1.8486,42.5631,http://www.wikidata.org/entity/Q1647936
78,Goñi,Municipio,Navarra,158.0,-1.8667,42.8333,http://www.wikidata.org/entity/Q1773019
79,Fitero,Municipio,Navarra,2011.0,-1.8572,42.0581,http://www.wikidata.org/entity/Q1773030
80,Etayo,Municipio,Navarra,58.0,-2.1539,42.6167,http://www.wikidata.org/entity/Q1648475
81,Javier,Municipio,Navarra,110.0,-1.2087,42.5912,http://www.wikidata.org/entity/Q1773006
82,Sarriés/Sartze,Municipio,Navarra,58.0,-1.0989,42.8361,http://www.wikidata.org/entity/Q1959105
83,Espronceda,Municipio,Navarra,104.0,-2.3025,42.5981,http://www.wikidata.org/entity/Q1922560
84,Orkoien,Municipio,Navarra,4057.0,-1.6992,42.8239,http://www.wikidata.org/entity/Q1767914
85,Urroz-Villa,Municipio,Navarra,377.0,-1.4583,42.7786,http://www.wikidata.org/entity/Q1648004
86,Larraona,Municipio,Navarra,102.0,-2.2561,42.7806,http://www.wikidata.org/entity/Q1647950
87,Aoiz/Agoitz,Municipio,Navarra,2695.0,-1.3667,42.7833,http://www.wikidata.org/entity/Q2142215
88,Saldías,Municipio,Navarra,122.0,-1.7808,43.0883,http://www.wikidata.org/entity/Q1648100
89,Mendavia,Municipio,Navarra,3547.0,-2.2004,42.4443,http://www.wikidata.org/entity/Q1648554
90,Morentin,Municipio,Navarra,129.0,-2.0125,42.6142,http://www.wikidata.org/entity/Q1647941
91,Basaburua,Municipio,Navarra,834.0,-1.8017,43.0014,http://www.wikidata.org/entity/Q1773013
92,Jaurrieta,Municipio,Navarra,189.0,-1.1347,42.8883,http://www.wikidata.org/entity/Q2192349
93,Salinas de Oro,Municipio,Navarra,109.0,-1.8881,42.7753,http://www.wikidata.org/entity/Q1648042
94,Bakaiku,Municipio,Navarra,362.0,-2.1021,42.8906,http://www.wikidata.org/entity/Q1754154
95,Iza fisa,Municipio,Navarra,1235.0,-1.7675,42.8825,http://www.wikidata.org/entity/Q1902298
96,Barbarin,Municipio,Navarra,55.0,-2.1014,42.6019,http://www.wikidata.org/entity/Q1757482
97,Ezkurra,Municipio,Navarra,146.0,-1.8622,43.0847,http://www.wikidata.org/entity/Q1767938
98,Arakil,Municipio,Navarra,933.0,-1.865,42.9125,http://www.wikidata.org/entity/Q1753006
99,Ergoiena,Municipio,Navarra,372.0,-2.0239,42.8789,http://www.wikidata.org/entity/Q1647998
100,Funes,Municipio,Navarra,2440.0,-1.8029,42.314,http://www.wikidata.org/entity/Q1767897
101,Sartaguda,Municipio,Navarra,1315.0,-2.0586,42.3814,http://www.wikidata.org/entity/Q1767920
102,Noáin (Valle de Elorz),Municipio,Navarra,8320.0,-1.6333,42.7547,http://www.wikidata.org/entity/Q1648807
103,Monreal/Elo,Municipio,Navarra,478.0,-1.5067,42.7047,http://www.wikidata.org/entity/Q1914401
104,Artazu,Municipio,Navarra,116.0,-1.8402,42.6913,http://www.wikidata.org/entity/Q1763735
105,Garínoain,Municipio,Navarra,499.0,-1.6464,42.6036,http://www.wikidata.org/entity/Q1753016
106,Ziordia,Municipio,Navarra,348.0,-2.227,42.8706,http://www.wikidata.org/entity/Q1751477
107,Arguedas,Municipio,Navarra,2272.0,-1.5983,42.1769,http://www.wikidata.org/entity/Q1763705
108,Carcastillo,Municipio,Navarra,2495.0,-1.4444,42.38,http://www.wikidata.org/entity/Q1648542
109,Iturmendi,Municipio,Navarra,403.0,-2.1186,42.8894,http://www.wikidata.org/entity/Q1647946
110,Lizoáin-Arriasgoiti,Municipio,Navarra,295.0,-1.4664,42.8003,http://www.wikidata.org/entity/Q1776948
111,Cáseda,Municipio,Navarra,974.0,-1.3677,42.524,http://www.wikidata.org/entity/Q1648512
112,Garaioa,Municipio,Navarra,91.0,-1.2428,42.9308,http://www.wikidata.org/entity/Q1773009
113,Fustiñana,Municipio,Navarra,2490.0,-1.4861,42.0197,http://www.wikidata.org/entity/Q1773016
114,Fontellas,Municipio,Navarra,996.0,-1.5761,42.0283,http://www.wikidata.org/entity/Q1768078
115,Garde,Municipio,Navarra,139.0,-0.9239,42.7889,http://www.wikidata.org/entity/Q1770960
116,Cárcar,Municipio,Navarra,1069.0,-1.97,42.3889,http://www.wikidata.org/entity/Q1648466
117,Murillo el Fruto,Municipio,Navarra,639.0,-1.4608,42.3928,http://www.wikidata.org/entity/Q1773026
118,Ituren,Municipio,Navarra,511.0,-1.7072,43.1289,http://www.wikidata.org/entity/Q1647956
119,Lazagurría,Municipio,Navarra,189.0,-2.2389,42.4936,http://www.wikidata.org/entity/Q1648031
120,Murieta,Municipio,Navarra,335.0,-2.1564,42.6594,http://www.wikidata.org/entity/Q1648105
121,Nazar,Municipio,Navarra,34.0,-2.2789,42.6375,http://www.wikidata.org/entity/Q1647541
122,Olóriz,Municipio,Navarra,203.0,-1.6131,42.6353,http://www.wikidata.org/entity/Q1647898
123,Abárzuza/Abartzuza,Municipio,Navarra,538.0,-2.0225,42.7264,http://www.wikidata.org/entity/Q1636186
124,Belascoáin,Municipio,Navarra,122.0,-1.8325,42.7561,http://www.wikidata.org/entity/Q1645846
125,Uztárroz/Uztarroze,Municipio,Navarra,151.0,-0.9392,42.8928,http://www.wikidata.org/entity/Q1647450
126,Allín/Allin,Municipio,Navarra,872.0,-2.0756,42.7089,http://www.wikidata.org/entity/Q1635693
127,Huarte/Uharte,Municipio,Navarra,7101.0,-1.5908,42.8314,http://www.wikidata.org/entity/Q1641785
128,Lerín,Municipio,Navarra,1725.0,-1.9737,42.4814,http://www.wikidata.org/entity/Q984875
129,Cascante,Municipio,Navarra,3864.0,-1.6789,41.9992,http://www.wikidata.org/entity/Q986089
130,Bertizarana,Municipio,Navarra,612.0,-1.6272,43.1336,http://www.wikidata.org/entity/Q1643873
131,Pueyo,Municipio,Navarra,351.0,-1.6481,42.5661,http://www.wikidata.org/entity/Q1647418
132,Valle de Yerri/Deierri,Municipio,Navarra,1506.0,-2.0,42.7333,http://www.wikidata.org/entity/Q1133148
133,Unzué/Untzue,Municipio,Navarra,144.0,-1.6261,42.6519,http://www.wikidata.org/entity/Q1647468
134,Berriozar,Municipio,Navarra,10426.0,-1.6714,42.8361,http://www.wikidata.org/entity/Q1645776
135,Altsasu/Alsasua,Municipio,Navarra,7443.0,-2.1652,42.9,http://www.wikidata.org/entity/Q1635681
136,Petilla de Aragón,Municipio,Navarra,31.0,-1.0928,42.4614,http://www.wikidata.org/entity/Q984872
137,Urdazubi/Urdax,Municipio,Navarra,349.0,-1.5039,43.2664,http://www.wikidata.org/entity/Q1647365
138,Zugarramurdi,Municipio,Navarra,219.0,-1.5416,43.2693,http://www.wikidata.org/entity/Q1643583
139,Aguilar de Codés,Municipio,Navarra,67.0,-2.3892,42.6128,http://www.wikidata.org/entity/Q1635769
140,Barillas,Municipio,Navarra,214.0,-1.6627,41.971,http://www.wikidata.org/entity/Q1645760
141,Oroz-Betelu,Municipio,Navarra,146.0,-1.3031,42.8964,http://www.wikidata.org/entity/Q1647421
142,Améscoa Baja,Municipio,Navarra,724.0,-2.1317,42.7709,http://www.wikidata.org/entity/Q1636180
143,Roncal/Erronkari,Municipio,Navarra,211.0,-0.9558,42.8075,http://www.wikidata.org/entity/Q578795
144,Zúñiga,Municipio,Navarra,109.0,-2.3004,42.693,http://www.wikidata.org/entity/Q615462
145,Arano,Municipio,Navarra,116.0,-1.8953,43.1997,http://www.wikidata.org/entity/Q768954
146,Abaurrepea/Abaurrea Baja,Municipio,Navarra,32.0,-1.2,42.9,http://www.wikidata.org/entity/Q546401
147,Mélida,Municipio,Navarra,733.0,-1.5453,42.3603,http://www.wikidata.org/entity/Q959084
148,Esteribar,Municipio,Navarra,2702.0,-1.5322,42.9483,http://www.wikidata.org/entity/Q617571
149,Tulebras,Municipio,Navarra,128.0,-1.6764,41.9767,http://www.wikidata.org/entity/Q631828
150,Ultzama,Municipio,Navarra,1653.0,-1.6781,43.0,http://www.wikidata.org/entity/Q735232
151,Ayegui,Municipio,Navarra,2366.0,-2.0383,42.6567,http://www.wikidata.org/entity/Q792921
152,Irañeta,Municipio,Navarra,172.0,-1.9452,42.9229,http://www.wikidata.org/entity/Q784935
153,Irurtzun,Municipio,Navarra,2233.0,-1.8285,42.9183,http://www.wikidata.org/entity/Q674117
154,Gallipienzo,Municipio,Navarra,98.0,-1.3894,42.5306,http://www.wikidata.org/entity/Q593987
155,Villamayor de Monjardín,Municipio,Navarra,119.0,-2.1,42.6331,http://www.wikidata.org/entity/Q597234
156,Tafalla,Municipio,Navarra,10595.0,-1.6736,42.5289,http://www.wikidata.org/entity/Q820224
157,Donamaria,Municipio,Navarra,433.0,-1.6728,43.1112,http://www.wikidata.org/entity/Q668061
158,Cizur,Municipio,Navarra,3888.0,-1.7178,42.7919,http://www.wikidata.org/entity/Q978259
159,Tiebas-Muruarte de Reta,Municipio,Navarra,606.0,-1.6403,42.6931,http://www.wikidata.org/entity/Q139335
160,Desojo,Municipio,Navarra,79.0,-2.2757,42.5881,http://www.wikidata.org/entity/Q546937
161,Marañón,Municipio,Navarra,52.0,-2.4416,42.6285,http://www.wikidata.org/entity/Q644914
162,Navascués/Nabaskoze,Municipio,Navarra,132.0,-1.1164,42.7183,http://www.wikidata.org/entity/Q776592
163,Odieta,Municipio,Navarra,362.0,-1.6381,42.9397,http://www.wikidata.org/entity/Q635755
164,Milagro,Municipio,Navarra,3416.0,-1.7628,42.2417,http://www.wikidata.org/entity/Q644537
165,Mues,Municipio,Navarra,75.0,-2.2264,42.6061,http://www.wikidata.org/entity/Q610818
166,Romanzado,Municipio,Navarra,175.0,-1.2386,42.6747,http://www.wikidata.org/entity/Q949393
167,Ujué,Municipio,Navarra,182.0,-1.4997,42.5067,http://www.wikidata.org/entity/Q943072
168,Goizueta,Municipio,Navarra,704.0,-1.8642,43.1711,http://www.wikidata.org/entity/Q303366
169,Legarda,Municipio,Navarra,117.0,-1.7703,42.7122,http://www.wikidata.org/entity/Q779466
170,Torralba del Río,Municipio,Navarra,103.0,-2.3297,42.6086,http://www.wikidata.org/entity/Q592638
171,Etxalar,Municipio,Navarra,813.0,-1.6372,43.2336,http://www.wikidata.org/entity/Q923976
172,Oteiza,Municipio,Navarra,918.0,-1.9533,42.6186,http://www.wikidata.org/entity/Q682821
173,Cirauqui,Municipio,Navarra,487.0,-1.8886,42.6758,http://www.wikidata.org/entity/Q206308
174,Abaurregaina/Abaurrea Alta,Municipio,Navarra,126.0,-1.2,42.9,http://www.wikidata.org/entity/Q968727
175,Zabalza,Municipio,Navarra,297.0,-1.8063,42.7676,http://www.wikidata.org/entity/Q609420
176,Sangüesa/Zangoza,Municipio,Navarra,4962.0,-1.2825,42.5778,http://www.wikidata.org/entity/Q842228
177,Erro,Municipio,Navarra,800.0,-1.4367,42.9628,http://www.wikidata.org/entity/Q674983
178,Mañeru,Municipio,Navarra,434.0,-1.8621,42.6695,http://www.wikidata.org/entity/Q964849
179,Buñuel,Municipio,Navarra,2219.0,-1.4408,41.9814,http://www.wikidata.org/entity/Q327740
180,Ansoáin,Municipio,Navarra,10833.0,-1.6394,42.8356,http://www.wikidata.org/entity/Q656781
181,Luzaide/Valcarlos,Municipio,Navarra,329.0,-1.3011,43.0931,http://www.wikidata.org/entity/Q524479
182,"Busto, El",Municipio,Navarra,56.0,-2.2417,42.5489,http://www.wikidata.org/entity/Q673453
183,Orreaga/Roncesvalles,Municipio,Navarra,22.0,-1.3194,43.0097,http://www.wikidata.org/entity/Q917891
184,Sada,Municipio,Navarra,133.0,-1.4,42.5831,http://www.wikidata.org/entity/Q633493
185,Corella,Municipio,Navarra,7971.0,-1.7867,42.1147,http://www.wikidata.org/entity/Q550407
186,Olite,Municipio,Navarra,3946.0,-1.6625,42.4875,http://www.wikidata.org/entity/Q837062
187,Beriáin,Municipio,Navarra,4069.0,-1.6444,42.7336,http://www.wikidata.org/entity/Q820748
188,Guesálaz,Municipio,Navarra,432.0,-1.9167,42.75,http://www.wikidata.org/entity/Q959913
189,Torres del Río,Municipio,Navarra,126.0,-2.2694,42.5528,http://www.wikidata.org/entity/Q782995
190,Enériz,Municipio,Navarra,286.0,-1.7167,42.6667,http://www.wikidata.org/entity/Q956576
191,Barañáin,Municipio,Navarra,20199.0,-1.6833,42.8,http://www.wikidata.org/entity/Q768691
192,Tudela,Municipio,Navarra,36258.0,-1.6067,42.0653,http://www.wikidata.org/entity/Q244747
193,Auritz/Burguete,Municipio,Navarra,231.0,-1.3353,42.9894,http://www.wikidata.org/entity/Q5431
194,Adiós,Municipio,Navarra,155.0,-1.7358,42.6864,http://www.wikidata.org/entity/Q519017
195,Beire,Municipio,Navarra,286.0,-1.6217,42.4539,http://www.wikidata.org/entity/Q814864
196,Viana,Municipio,Navarra,4209.0,-2.3718,42.5151,http://www.wikidata.org/entity/Q907241
197,Andosilla,Municipio,Navarra,2743.0,-1.9419,42.3769,http://www.wikidata.org/entity/Q425775
198,Armañanzas,Municipio,Navarra,53.0,-2.285,42.56,http://www.wikidata.org/entity/Q614400
