,Nombre,Tipo,Provincia,Poblacion,Distancia,Dirección,Nubosidad,lon,lat
0,"Cuerlas, Las",Municipio,provincia de Zaragoza,41.0,5.74,211.93,28.6,-1.5495,40.9595
1,Torralba de los Frailes,Municipio,provincia de Zaragoza,79.0,12.96,286.74,-,-1.661,41.0367
2,Embid,Municipio,provincia de Guadalajara,33.0,16.95,258.61,31.3,-1.7108,40.9731
3,"Yunta, La",Municipio,provincia de Guadalajara,89.0,17.4,235.3,29.38,-1.6834,40.9142
4,Campillo de Dueñas,Municipio,provincia de Guadalajara,78.0,19.44,227.44,-,-1.6836,40.885
5,Tortuera,Municipio,provincia de Guadalajara,194.0,24.09,262.06,-,-1.7969,40.9731
6,Hombrados,Municipio,provincia de Guadalajara,33.0,26.7,212.84,28.6,-1.6854,40.8014
7,"Pobo de Dueñas, El",Municipio,provincia de Guadalajara,109.0,27.72,204.5,-,-1.65,40.7762
8,Fuentelsaz,Municipio,provincia de Guadalajara,94.0,27.73,286.78,-,-1.8294,41.0747
9,Castellar de la Muela,Municipio,provincia de Guadalajara,22.0,29.14,225.32,28.0,-1.7594,40.8189
10,Morenilla,Municipio,provincia de Guadalajara,38.0,29.15,214.12,28.6,-1.7076,40.7861
11,Rueda de la Sierra,Municipio,provincia de Guadalajara,38.0,30.17,251.81,-,-1.8537,40.9183
12,Milmarcos,Municipio,provincia de Guadalajara,73.0,31.83,287.26,-,-1.8753,41.0875
13,Torrubia,Municipio,provincia de Guadalajara,19.0,32.84,262.79,-,-1.9004,40.9657
14,Prados Redondos,Municipio,provincia de Guadalajara,73.0,33.86,224.18,28.0,-1.7935,40.7847
15,Tordellego,Municipio,provincia de Guadalajara,48.0,34.01,202.85,26.5,-1.6702,40.7211
16,Anquela del Pedregal,Municipio,provincia de Guadalajara,24.0,34.32,213.06,28.6,-1.7356,40.7444
17,Tartanedo,Municipio,provincia de Guadalajara,140.0,34.41,268.44,32.56,-1.9222,40.9942
18,Pardos,Municipio,provincia de Guadalajara,43.0,35.1,260.19,-,-1.9242,40.9489
19,Castilnuevo,Municipio,provincia de Guadalajara,8.0,35.63,234.21,29.38,-1.8564,40.8156
20,Molina de Aragón,Municipio,provincia de Guadalajara,3275.0,36.23,240.78,-,-1.8886,40.8439
21,Torrecuadrada de Molina,Municipio,provincia de Guadalajara,18.0,37.46,221.27,-,-1.8066,40.7498
22,Torremochuela,Municipio,provincia de Guadalajara,10.0,38.22,226.33,28.0,-1.8414,40.7657
23,Rillo de Gallo,Municipio,provincia de Guadalajara,43.0,38.68,247.06,30.76,-1.9361,40.8672
24,Herrería,Municipio,provincia de Guadalajara,30.0,39.61,251.37,-,-1.9589,40.8889
25,Algar de Mesa,Municipio,provincia de Guadalajara,55.0,40.15,291.63,34.24,-1.9581,41.1353
26,Piqueras,Municipio,provincia de Guadalajara,55.0,41.58,204.84,-,-1.7206,40.6636
27,Villel de Mesa,Municipio,provincia de Guadalajara,182.0,42.35,289.09,-,-1.9901,41.1266
28,Establés,Municipio,provincia de Guadalajara,37.0,42.86,271.05,32.56,-2.0228,41.0092
29,Corduente,Municipio,provincia de Guadalajara,349.0,43.05,245.69,30.76,-1.9789,40.8433
30,Mochales,Municipio,provincia de Guadalajara,46.0,43.39,283.96,-,-2.0147,41.0961
31,Traíd,Municipio,provincia de Guadalajara,23.0,44.77,213.9,28.6,-1.8095,40.6687
32,Tierzo,Municipio,provincia de Guadalajara,49.0,45.08,231.28,-,-1.9305,40.7492
33,Valhermoso,Municipio,provincia de Guadalajara,23.0,45.36,237.43,29.38,-1.9667,40.7831
34,Alcoroches,Municipio,provincia de Guadalajara,126.0,46.02,205.12,-,-1.745,40.6281
35,Torremocha del Pinar,Municipio,provincia de Guadalajara,40.0,46.36,254.48,-,-2.0436,40.8908
36,Pinilla de Molina,Municipio,provincia de Guadalajara,10.0,47.39,220.76,-,-1.8802,40.68
37,Terzaga,Municipio,provincia de Guadalajara,23.0,47.57,223.9,28.0,-1.9044,40.6945
